ExpenseID,ExpenseDate,FiscalYear,FiscalMonth,CostCenterCode,Department_ID,Branch_ID,Category_ID,Vendor,Invoice_Number,Description,Amount,Approval_Status,Requester_Employee_ID,Approver_Employee_ID,Payment_Status,Approved_Date,Payment_Date,Delay_Reason
EX0005812,12/8/2025,2025,2025-12,CC-HQ-D006,D006,B001,C003,Cushman & Wakefield,INV-0SXZMHOX,Branch Rent & Leases - Cushman & Wakefield,35130.00,Approved,9935,2679,Paid,12/11/2025,12/12/2025,
EX0000234,1/11/2024,2024,2024-01,CC-HQ-D007,D007,B001,C010,Local Media Group,INV-8PXNJXQ2,Marketing & Community Outreach - Local Media Group,34440.00,Approved,2424,2424,Paid,1/12/2024,1/13/2024,
EX0004085,5/27/2025,2025,2025-05,CC-HQ-D002,D002,B001,C005,Securitas,INV-49F5EPTY,Security Services & Monitoring - Securitas,34330.00,Approved,2824,2824,Paid,5/31/2025,6/6/2025,
EX0005802,12/8/2025,2025,2025-12,CC-HQ-D005,D005,B001,C007,CDW,INV-IECB3Q9P,Hardware & Equipment - CDW,33730.00,Approved,4657,3286,Paid,12/8/2025,12/12/2025,
EX0006075,1/29/2026,2026,2026-01,CC-HQ-D008,D008,B001,C006,Adobe,INV-X12MJ0YD,Software Licenses & Subscriptions - Adobe,33540.00,Pending,7912,7912,Processing,,,
EX0003901,4/8/2025,2025,2025-04,CC-HQ-D008,D008,B001,C905,Corporate Shared Services,INV-MVN75OLE,Corporate Overhead - Loans and Credit - Corporate Shared Services,33160.00,Approved,7912,7912,Paid,4/15/2025,5/5/2025,
EX0000225,1/2/2024,2024,2024-01,CC-HQ-D007,D007,B001,C904,HQ Facilities Allocation,INV-W14TK1Z7,Corporate Overhead - Human Resources - HQ Facilities Allocation,32720.00,Approved,2424,2424,Paid,1/9/2024,1/27/2024,
EX0002655,11/20/2024,2024,2024-11,CC-HQ-D003,D003,B001,C012,Staples,INV-HXUD8D3D,Office Supplies & Admin - Staples,32530.00,Approved,5506,5506,Paid,11/26/2024,12/2/2024,
EX0003869,4/30/2025,2025,2025-04,CC-HQ-D003,D003,B001,C005,Local Security Co,INV-HA4LVQTT,Security Services & Monitoring - Local Security Co,32280.00,Approved,1520,5506,Paid,5/3/2025,5/8/2025,
EX0005336,10/10/2025,2025,2025-10,CC-HQ-D005,D005,B001,C906,HQ Facilities Allocation,INV-O77FDZC6,Corporate Overhead - Finance & Accounting - HQ Facilities Allocation,32020.00,Approved,3286,3286,Paid,10/11/2025,10/23/2025,
EX0003404,2/21/2025,2025,2025-02,CC-HQ-D004,D004,B001,C011,Coursera for Business,INV-7NQENPNQ,"Training, Travel & Conferences - Coursera for Business",31470.00,Approved,5012,5012,Paid,2/24/2025,2/28/2025,
EX0005777,12/15/2025,2025,2025-12,CC-HQ-D002,D002,B001,C003,CBRE,INV-FR1F4MUQ,Branch Rent & Leases - CBRE,31060.00,Approved,2824,2824,Paid,12/21/2025,1/6/2026,
EX0003644,3/24/2025,2025,2025-03,CC-HQ-D006,D006,B001,C003,Cushman & Wakefield,INV-KWA5CUNC,Branch Rent & Leases - Cushman & Wakefield,29520.00,Approved,9935,2679,Delayed,3/30/2025,5/17/2025,Compliance Review
EX0003863,4/30/2025,2025,2025-04,CC-HQ-D003,D003,B001,C005,Allied Universal,INV-8SW0OO5C,Security Services & Monitoring - Allied Universal,28040.00,Approved,5506,5506,Paid,5/2/2025,5/10/2025,
EX0004582,7/26/2025,2025,2025-07,CC-HQ-D004,D004,B001,C009,External Audit Firm,INV-Z6OVES38,Regulatory & Compliance Fees - External Audit Firm,27460.00,Approved,5012,5012,Delayed,8/2/2025,9/2/2025,Vendor Documentation Missing
EX0003858,4/6/2025,2025,2025-04,CC-HQ-D002,D002,B001,C005,Allied Universal,INV-NL8PQHPF,Security Services & Monitoring - Allied Universal,26700.00,Approved,2824,2824,Paid,4/13/2025,4/16/2025,
EX0004370,6/14/2025,2025,2025-06,CC-HQ-D008,D008,B001,C009,Compliance Services Inc,INV-ZWUKZ0TU,Regulatory & Compliance Fees - Compliance Services Inc,25900.00,Approved,7912,7912,Paid,6/20/2025,6/25/2025,
EX0004342,6/25/2025,2025,2025-06,CC-HQ-D005,D005,B001,C006,Okta,INV-Q14DJFDS,Software Licenses & Subscriptions - Okta,25800.00,Approved,4657,3286,Paid,6/27/2025,7/13/2025,
EX0000926,4/4/2024,2024,2024-04,CC-HQ-D002,D002,B001,C005,Securitas,INV-XIKUCAUD,Security Services & Monitoring - Securitas,25390.00,Approved,2824,2824,Delayed,4/11/2024,6/7/2024,Threshold Review Hold
EX0005357,10/7/2025,2025,2025-10,CC-HQ-D007,D007,B001,C007,HP,INV-7KOR82B7,Hardware & Equipment - HP,25220.00,Approved,2424,2424,Paid,10/12/2025,10/25/2025,
EX0003654,3/7/2025,2025,2025-03,CC-HQ-D007,D007,B001,C007,Lenovo,INV-VXUWDYP0,Hardware & Equipment - Lenovo,25020.00,Approved,2424,2424,Paid,3/12/2025,3/18/2025,
EX0004830,8/15/2025,2025,2025-08,CC-HQ-D004,D004,B001,C009,External Audit Firm,INV-ZS5DXXN1,Regulatory & Compliance Fees - External Audit Firm,23940.00,Approved,5012,5012,Paid,8/20/2025,8/23/2025,
EX0003743,4/2/2025,2025,2025-04,CC-B016,D010,B016,C006,ServiceNow,INV-HR5Q8OJL,Software Licenses & Subscriptions - ServiceNow,23420.00,Approved,4257,4257,Paid,4/6/2025,4/15/2025,
EX0003168,1/2/2025,2025,2025-01,CC-HQ-D007,D007,B001,C007,Lenovo,INV-B8EP5N2N,Hardware & Equipment - Lenovo,23300.00,Approved,2424,2424,Paid,1/5/2025,1/24/2025,
EX0004809,8/5/2025,2025,2025-08,CC-HQ-D001,D001,B001,C908,Corporate Shared Services,INV-MWBEIF0M,Corporate Overhead - Procurement & Vendor Management - Corporate Shared Services,23070.00,Approved,1409,1409,Paid,8/6/2025,8/23/2025,
EX0006062,1/27/2026,2026,2026-01,CC-HQ-D007,D007,B001,C902,Local Media Group,INV-OUAKJVW7,Corporate Overhead - Marketing & Advertising - Local Media Group,23030.00,Approved,2424,2424,Paid,2/5/2026,3/1/2026,
EX0003640,3/30/2025,2025,2025-03,CC-HQ-D006,D006,B001,C009,FINRA,INV-0B2SDJRB,Regulatory & Compliance Fees - FINRA,22820.00,Approved,2679,2679,Paid,4/6/2025,4/8/2025,
EX0000718,3/7/2024,2024,2024-03,CC-HQ-D007,D007,B001,C002,Paychex,INV-P09DZ463,Benefits & Payroll Taxes - Paychex,22260.00,Approved,2424,2424,Paid,3/9/2024,3/12/2024,
EX0004924,9/11/2025,2025,2025-09,CC-B013,D010,B013,C002,Paychex,INV-3MMU2Q8Z,Benefits & Payroll Taxes - Paychex,22030.00,Approved,4811,4811,Delayed,9/14/2025,11/9/2025,Vendor Documentation Missing
EX0004007,5/11/2025,2025,2025-05,CC-B021,D010,B021,C008,Local Counsel LLP,INV-SYUTZZVP,Professional Services (Legal/Consulting) - Local Counsel LLP,22020.00,Approved,7224,7224,Paid,5/13/2025,5/23/2025,
EX0001407,6/27/2024,2024,2024-06,CC-HQ-D001,D001,B001,C005,Allied Universal,INV-UHPD4I7T,Security Services & Monitoring - Allied Universal,21920.00,Approved,1409,1409,Paid,6/28/2024,7/9/2024,
EX0001715,7/5/2024,2024,2024-07,CC-HQ-D007,D007,B001,C012,Amazon Business,INV-N6Z4S44Z,Office Supplies & Admin - Amazon Business,21130.00,Approved,2424,2424,Paid,7/10/2024,7/24/2024,
EX0004950,9/26/2025,2025,2025-09,CC-B017,D010,B017,C001,Paychex,INV-B08GZ77J,Salaries & Payroll - Paychex,19840.00,Approved,9928,9928,Paid,10/2/2025,10/12/2025,
EX0003625,3/13/2025,2025,2025-03,CC-HQ-D004,D004,B001,C012,Office Depot,INV-46RST39H,Office Supplies & Admin - Office Depot,19820.00,Approved,5012,5012,Delayed,3/16/2025,4/9/2025,Threshold Review Hold
EX0002446,10/29/2024,2024,2024-10,CC-HQ-D008,D008,B001,C902,Meta Ads,INV-AKF7N1V8,Corporate Overhead - Marketing & Advertising - Meta Ads,19790.00,Approved,7912,7912,Paid,11/1/2024,11/9/2024,
EX0004859,8/12/2025,2025,2025-08,CC-HQ-D007,D007,B001,C006,Adobe,INV-HJK8X69B,Software Licenses & Subscriptions - Adobe,19460.00,Approved,2424,2424,Paid,8/17/2025,9/2/2025,
EX0006026,1/4/2026,2026,2026-01,CC-HQ-D003,D003,B001,C011,Marriott,INV-SZHDYHK9,"Training, Travel & Conferences - Marriott",18970.00,Pending,1520,5506,Processing,,,
EX0003151,1/30/2025,2025,2025-01,CC-HQ-D005,D005,B001,C006,Microsoft,INV-LC7MKEH5,Software Licenses & Subscriptions - Microsoft,18770.00,Approved,3286,3286,Paid,2/5/2025,2/24/2025,
EX0002390,10/14/2024,2024,2024-10,CC-HQ-D002,D002,B001,C011,Conference Organizer,INV-3L81R6KV,"Training, Travel & Conferences - Conference Organizer",18750.00,Approved,2824,2824,Paid,10/19/2024,10/20/2024,
EX0001168,5/11/2024,2024,2024-05,CC-HQ-D004,D004,B001,C903,Corporate Shared Services,INV-YAYGTF80,Corporate Overhead - Information Technology - Corporate Shared Services,18260.00,Approved,5012,5012,Paid,5/11/2024,5/27/2024,
EX0000485,2/27/2024,2024,2024-02,CC-HQ-D008,D008,B001,C010,Community Sponsorship Org,INV-WUVLTOBL,Marketing & Community Outreach - Community Sponsorship Org,18170.00,Approved,7912,7912,Paid,2/29/2024,3/16/2024,
EX0003611,3/5/2025,2025,2025-03,CC-HQ-D002,D002,B001,C005,Local Security Co,INV-CL3A0CYI,Security Services & Monitoring - Local Security Co,18150.00,Approved,2824,2824,Paid,3/6/2025,3/15/2025,
EX0000938,4/14/2024,2024,2024-04,CC-HQ-D003,D003,B001,C011,Delta,INV-N51GALCS,"Training, Travel & Conferences - Delta",18110.00,Approved,5506,5506,Paid,4/16/2024,4/30/2024,
EX0005578,11/30/2025,2025,2025-11,CC-HQ-D006,D006,B001,C908,HQ Facilities Allocation,INV-73OILMGN,Corporate Overhead - Procurement & Vendor Management - HQ Facilities Allocation,17610.00,Approved,9935,2679,Paid,12/3/2025,12/9/2025,
EX0005788,12/17/2025,2025,2025-12,CC-HQ-D004,D004,B001,C011,United,INV-N0GQGDVU,"Training, Travel & Conferences - United",17530.00,Approved,5012,5012,Paid,12/19/2025,1/3/2026,
EX0001709,7/30/2024,2024,2024-07,CC-HQ-D006,D006,B001,C010,Meta Ads,INV-GC1VXBVC,Marketing & Community Outreach - Meta Ads,17380.00,Approved,9935,2679,Paid,8/3/2024,8/21/2024,
EX0002674,11/24/2024,2024,2024-11,CC-HQ-D005,D005,B001,C008,Deloitte,INV-WL9JC7X5,Professional Services (Legal/Consulting) - Deloitte,17300.00,Approved,3286,3286,Delayed,11/26/2024,1/3/2025,Compliance Review
EX0002904,12/28/2024,2024,2024-12,CC-HQ-D003,D003,B001,C008,Local Counsel LLP,INV-96NZCE0R,Professional Services (Legal/Consulting) - Local Counsel LLP,17160.00,Approved,1520,5506,Paid,1/4/2025,1/21/2025,
EX0000446,2/28/2024,2024,2024-02,CC-HQ-D003,D003,B001,C011,Coursera for Business,INV-AV52CD37,"Training, Travel & Conferences - Coursera for Business",17130.00,Approved,1520,5506,Paid,2/29/2024,3/20/2024,
EX0002442,10/27/2024,2024,2024-10,CC-HQ-D008,D008,B001,C010,Local Media Group,INV-ISQGUIOO,Marketing & Community Outreach - Local Media Group,16160.00,Approved,7912,7912,Paid,10/27/2024,11/5/2024,
EX0006051,1/4/2026,2026,2026-01,CC-HQ-D006,D006,B001,C908,Corporate Shared Services,INV-MH1TV0QY,Corporate Overhead - Procurement & Vendor Management - Corporate Shared Services,15630.00,Approved,2679,2679,Delayed,1/12/2026,3/15/2026,Manual Approval Hold
EX0003148,1/12/2025,2025,2025-01,CC-HQ-D005,D005,B001,C005,Securitas,INV-S1NQ9G4Y,Security Services & Monitoring - Securitas,15140.00,Approved,4657,3286,Paid,1/13/2025,1/25/2025,
EX0000223,1/17/2024,2024,2024-01,CC-HQ-D006,D006,B001,C904,Corporate Shared Services,INV-TL5HGDQN,Corporate Overhead - Human Resources - Corporate Shared Services,15050.00,Approved,2679,2679,Delayed,1/24/2024,3/20/2024,Compliance Review
EX0002946,12/30/2024,2024,2024-12,CC-HQ-D008,D008,B001,C010,Google Ads,INV-PN2ZMQ0L,Marketing & Community Outreach - Google Ads,14800.00,Approved,7912,7912,Delayed,1/3/2025,2/9/2025,Vendor Documentation Missing
EX0002950,12/9/2024,2024,2024-12,CC-HQ-D008,D008,B001,C010,Google Ads,INV-BFCSWTWL,Marketing & Community Outreach - Google Ads,14310.00,Approved,7912,7912,Paid,12/9/2024,12/15/2024,
EX0005335,10/20/2025,2025,2025-10,CC-HQ-D005,D005,B001,C007,HP,INV-NNJ0L3FO,Hardware & Equipment - HP,14210.00,Approved,4657,3286,Paid,10/24/2025,11/6/2025,
EX0005537,11/26/2025,2025,2025-11,CC-HQ-D001,D001,B001,C008,Deloitte,INV-LT51D0HH,Professional Services (Legal/Consulting) - Deloitte,14200.00,Approved,1409,1409,Paid,12/2/2025,12/9/2025,
EX0000201,1/3/2024,2024,2024-01,CC-HQ-D004,D004,B001,C903,HQ Facilities Allocation,INV-JVSBIYTZ,Corporate Overhead - Information Technology - HQ Facilities Allocation,14140.00,Approved,5012,5012,Paid,1/5/2024,1/24/2024,
EX0004088,5/11/2025,2025,2025-05,CC-HQ-D003,D003,B001,C003,Local Property Mgmt LLC,INV-UGDTT4NN,Branch Rent & Leases - Local Property Mgmt LLC,14130.00,Approved,5506,5506,Paid,5/11/2025,5/19/2025,
EX0002421,10/7/2024,2024,2024-10,CC-HQ-D005,D005,B001,C008,KPMG,INV-APYBN0BY,Professional Services (Legal/Consulting) - KPMG,13960.00,Approved,3286,3286,Paid,10/14/2024,11/2/2024,
EX0005799,12/20/2025,2025,2025-12,CC-HQ-D005,D005,B001,C005,Allied Universal,INV-KR38Y5KX,Security Services & Monitoring - Allied Universal,13800.00,Approved,4657,3286,Paid,12/20/2025,12/28/2025,
EX0006053,1/11/2026,2026,2026-01,CC-HQ-D006,D006,B001,C908,Corporate Shared Services,INV-NUJNALJP,Corporate Overhead - Procurement & Vendor Management - Corporate Shared Services,13740.00,Approved,2679,2679,Paid,1/14/2026,1/25/2026,
EX0000236,1/5/2024,2024,2024-01,CC-HQ-D008,D008,B001,C012,Office Depot,INV-79OXU8YK,Office Supplies & Admin - Office Depot,13730.00,Approved,7912,7912,Delayed,1/6/2024,2/19/2024,Threshold Review Hold
EX0003870,4/9/2025,2025,2025-04,CC-HQ-D003,D003,B001,C003,Cushman & Wakefield,INV-SWNJUS0M,Branch Rent & Leases - Cushman & Wakefield,13680.00,Approved,1520,5506,Paid,4/12/2025,4/27/2025,
EX0003845,4/28/2025,2025,2025-04,CC-HQ-D001,D001,B001,C008,Deloitte,INV-P6MNVVSH,Professional Services (Legal/Consulting) - Deloitte,13640.00,Approved,1409,1409,Paid,4/30/2025,5/15/2025,
EX0000239,1/6/2024,2024,2024-01,CC-HQ-D008,D008,B001,C902,Meta Ads,INV-RLKSHUBV,Corporate Overhead - Marketing & Advertising - Meta Ads,13620.00,Approved,7912,7912,Paid,1/10/2024,1/30/2024,
EX0003134,1/27/2025,2025,2025-01,CC-HQ-D003,D003,B001,C003,Local Property Mgmt LLC,INV-7CM9E57K,Branch Rent & Leases - Local Property Mgmt LLC,13620.00,Approved,1520,5506,Delayed,1/28/2025,2/27/2025,Invoice Discrepancy
EX0002437,10/6/2024,2024,2024-10,CC-HQ-D008,D008,B001,C010,Google Ads,INV-93WLRE65,Marketing & Community Outreach - Google Ads,13510.00,Approved,7912,7912,Paid,10/10/2024,10/30/2024,
EX0005295,10/19/2025,2025,2025-10,CC-HQ-D001,D001,B001,C008,KPMG,INV-864PEJ1D,Professional Services (Legal/Consulting) - KPMG,13400.00,Approved,1409,1409,Delayed,10/26/2025,11/21/2025,Invoice Discrepancy
EX0005786,12/6/2025,2025,2025-12,CC-HQ-D003,D003,B001,C003,Local Property Mgmt LLC,INV-3IBDRYKB,Branch Rent & Leases - Local Property Mgmt LLC,13360.00,Approved,5506,5506,Paid,12/7/2025,12/14/2025,
EX0005068,9/12/2025,2025,2025-09,CC-HQ-D004,D004,B001,C009,FINRA,INV-JEONH4YP,Regulatory & Compliance Fees - FINRA,13270.00,Approved,5012,5012,Paid,9/13/2025,9/28/2025,
EX0003121,1/28/2025,2025,2025-01,CC-HQ-D001,D001,B001,C008,Local Counsel LLP,INV-DJDO12Y7,Professional Services (Legal/Consulting) - Local Counsel LLP,13180.00,Rejected,1409,1409,Cancelled,,,
EX0003602,3/7/2025,2025,2025-03,CC-HQ-D001,D001,B001,C008,EY,INV-N4LHB0I0,Professional Services (Legal/Consulting) - EY,13170.00,Approved,1409,1409,Paid,3/7/2025,3/27/2025,
EX0005478,11/20/2025,2025,2025-11,CC-B021,D010,B021,C010,Local Media Group,INV-6N07RZES,Marketing & Community Outreach - Local Media Group,13150.00,Approved,7224,7224,Paid,11/23/2025,12/9/2025,
EX0004839,8/26/2025,2025,2025-08,CC-HQ-D005,D005,B001,C007,Lenovo,INV-D9XXNLBA,Hardware & Equipment - Lenovo,13090.00,Approved,3286,3286,Paid,9/2/2025,9/18/2025,
EX0006268,2/2/2026,2026,2026-02,CC-HQ-D004,D004,B001,C004,Ameren,INV-H9TCPXKB,Utilities - Ameren,13070.00,Approved,5012,5012,Paid,2/5/2026,2/18/2026,
EX0000931,4/1/2024,2024,2024-04,CC-HQ-D003,D003,B001,C011,Conference Organizer,INV-6DTYIFLW,"Training, Travel & Conferences - Conference Organizer",13050.00,Approved,5506,5506,Paid,4/3/2024,4/11/2024,
EX0002645,11/9/2024,2024,2024-11,CC-HQ-D002,D002,B001,C906,HQ Facilities Allocation,INV-5QJSSFC4,Corporate Overhead - Finance & Accounting - HQ Facilities Allocation,12980.00,Approved,2824,2824,Paid,11/11/2024,11/21/2024,
EX0004331,6/19/2025,2025,2025-06,CC-HQ-D004,D004,B001,C902,Community Sponsorship Org,INV-8D634YYJ,Corporate Overhead - Marketing & Advertising - Community Sponsorship Org,12910.00,Approved,5012,5012,Paid,6/24/2025,6/26/2025,
EX0000974,4/8/2024,2024,2024-04,CC-HQ-D008,D008,B001,C008,EY,INV-J2FT0QPM,Professional Services (Legal/Consulting) - EY,12880.00,Approved,7912,7912,Paid,4/11/2024,4/23/2024,
EX0005593,11/13/2025,2025,2025-11,CC-HQ-D008,D008,B001,C009,State Banking Regulator,INV-OFT6323Q,Regulatory & Compliance Fees - State Banking Regulator,12860.00,Approved,7912,7912,Paid,11/13/2025,12/2/2025,
EX0005769,12/10/2025,2025,2025-12,CC-HQ-D001,D001,B001,C008,Local Counsel LLP,INV-Z706LRNZ,Professional Services (Legal/Consulting) - Local Counsel LLP,12830.00,Approved,1409,1409,Paid,12/13/2025,12/28/2025,
EX0006049,1/28/2026,2026,2026-01,CC-HQ-D006,D006,B001,C012,Staples,INV-P9GJ0A6R,Office Supplies & Admin - Staples,12740.00,Approved,2679,2679,Paid,2/1/2026,2/23/2026,
EX0005056,9/2/2025,2025,2025-09,CC-HQ-D003,D003,B001,C003,Local Property Mgmt LLC,INV-5SU1F56H,Branch Rent & Leases - Local Property Mgmt LLC,12720.00,Approved,1520,5506,Paid,9/8/2025,9/9/2025,
EX0004812,8/29/2025,2025,2025-08,CC-HQ-D002,D002,B001,C906,HQ Facilities Allocation,INV-UUHL4LCR,Corporate Overhead - Finance & Accounting - HQ Facilities Allocation,12710.00,Approved,2824,2824,Paid,8/31/2025,9/6/2025,
EX0003594,3/3/2025,2025,2025-03,CC-HQ-D001,D001,B001,C008,PwC,INV-5LRJRBZG,Professional Services (Legal/Consulting) - PwC,12700.00,Approved,1409,1409,Paid,3/7/2025,3/26/2025,
EX0001468,6/22/2024,2024,2024-06,CC-HQ-D007,D007,B001,C012,Staples,INV-IN3DA1EH,Office Supplies & Admin - Staples,12670.00,Approved,2424,2424,Paid,6/28/2024,7/17/2024,
EX0002386,10/2/2024,2024,2024-10,CC-HQ-D002,D002,B001,C005,Securitas,INV-YRMO686D,Security Services & Monitoring - Securitas,12620.00,Approved,2824,2824,Paid,10/3/2024,10/17/2024,
EX0000968,4/14/2024,2024,2024-04,CC-HQ-D007,D007,B001,C012,Office Depot,INV-QSFFW662,Office Supplies & Admin - Office Depot,12590.00,Approved,2424,2424,Paid,4/20/2024,4/23/2024,
EX0006030,1/6/2026,2026,2026-01,CC-HQ-D004,D004,B001,C004,Dominion Energy,INV-VX3T0PXB,Utilities - Dominion Energy,12590.00,Approved,5012,5012,Paid,1/12/2026,1/31/2026,
EX0005771,12/17/2025,2025,2025-12,CC-HQ-D002,D002,B001,C906,HQ Facilities Allocation,INV-WGYUGO3F,Corporate Overhead - Finance & Accounting - HQ Facilities Allocation,12480.00,Approved,2824,2824,Paid,12/20/2025,1/5/2026,
EX0004817,8/10/2025,2025,2025-08,CC-HQ-D002,D002,B001,C906,Corporate Shared Services,INV-4RMBYIWO,Corporate Overhead - Finance & Accounting - Corporate Shared Services,12460.00,Approved,2824,2824,Paid,8/12/2025,8/27/2025,
EX0000723,3/27/2024,2024,2024-03,CC-HQ-D007,D007,B001,C012,Amazon Business,INV-9JMJBK4J,Office Supplies & Admin - Amazon Business,12390.00,Approved,2424,2424,Paid,3/30/2024,4/7/2024,
EX0002198,9/19/2024,2024,2024-09,CC-HQ-D006,D006,B001,C009,FINRA,INV-SMGAV76H,Regulatory & Compliance Fees - FINRA,12320.00,Approved,2679,2679,Paid,9/21/2024,9/30/2024,
EX0000238,1/18/2024,2024,2024-01,CC-HQ-D008,D008,B001,C902,Community Sponsorship Org,INV-H13TZTDJ,Corporate Overhead - Marketing & Advertising - Community Sponsorship Org,12300.00,Approved,7912,7912,Paid,1/24/2024,2/13/2024,
EX0002434,10/9/2024,2024,2024-10,CC-HQ-D007,D007,B001,C012,Office Depot,INV-DWEUW9O0,Office Supplies & Admin - Office Depot,12300.00,Approved,2424,2424,Paid,10/13/2024,10/23/2024,
EX0003123,1/14/2025,2025,2025-01,CC-HQ-D001,D001,B001,C001,ADP,INV-TG65OMIU,Salaries & Payroll - ADP,12290.00,Approved,1409,1409,Paid,1/14/2025,1/25/2025,
EX0004610,7/31/2025,2025,2025-07,CC-HQ-D008,D008,B001,C001,ADP,INV-8ZQL9ZZ3,Salaries & Payroll - ADP,12280.00,Approved,7912,7912,Delayed,8/4/2025,9/17/2025,Vendor Documentation Missing
EX0003617,3/23/2025,2025,2025-03,CC-HQ-D003,D003,B001,C003,CBRE,INV-XS6T7HSJ,Branch Rent & Leases - CBRE,12270.00,Approved,1520,5506,Delayed,3/27/2025,4/18/2025,Invoice Discrepancy
EX0005541,11/18/2025,2025,2025-11,CC-HQ-D002,D002,B001,C906,HQ Facilities Allocation,INV-MSS340IQ,Corporate Overhead - Finance & Accounting - HQ Facilities Allocation,12260.00,Approved,2824,2824,Delayed,11/22/2025,1/19/2026,Vendor Documentation Missing
EX0005328,10/24/2025,2025,2025-10,CC-HQ-D005,D005,B001,C005,Allied Universal,INV-M7TJ3SHQ,Security Services & Monitoring - Allied Universal,12190.00,Approved,4657,3286,Paid,10/31/2025,11/10/2025,
EX0000245,1/14/2024,2024,2024-01,CC-HQ-D008,D008,B001,C012,Office Depot,INV-Y8PK7DGW,Office Supplies & Admin - Office Depot,12180.00,Approved,7912,7912,Paid,1/21/2024,2/3/2024,
EX0000478,2/14/2024,2024,2024-02,CC-HQ-D007,D007,B001,C904,Corporate Shared Services,INV-07D9ZAZ8,Corporate Overhead - Human Resources - Corporate Shared Services,12140.00,Approved,2424,2424,Paid,2/19/2024,3/4/2024,
EX0000227,1/24/2024,2024,2024-01,CC-HQ-D007,D007,B001,C002,Paychex,INV-2EEANXKR,Benefits & Payroll Taxes - Paychex,12100.00,Approved,2424,2424,Paid,1/31/2024,2/17/2024,
EX0001684,7/20/2024,2024,2024-07,CC-HQ-D002,D002,B001,C011,United,INV-J0SZJMGU,"Training, Travel & Conferences - United",12090.00,Approved,2824,2824,Paid,7/21/2024,8/8/2024,
EX0000732,3/26/2024,2024,2024-03,CC-HQ-D008,D008,B001,C902,Community Sponsorship Org,INV-E6C49DVH,Corporate Overhead - Marketing & Advertising - Community Sponsorship Org,12000.00,Approved,7912,7912,Paid,3/28/2024,3/31/2024,
